id	classname	curr	new	AL	category	coverage
35	basinetchainmail	320	600	75	Heavy	1
36	bracersleather	270	100	20	Light	1
37	bracersscalemail	320	200	75	Light	1
38	bracersstuddedleather	330	200	30	Medium	1
39	breastplateleather	420	250	20	Light	1
40	breastplateplatemail	2200	2000	100	Heavy	1
41	breastplatescalemail	1215	500	75	Light	1
42	breastplatestuddedleather	675	500	30	Medium	1
43	breastplateyoroi	1215	1000	80	Medium	1
45	capleather	100	75	20	Light	1
46	capmetal	120	300	30	Light	1
47	coatleather	810	550	20	Light	4
48	coatstuddedleather	1250	1100	30	Medium	4
50	cuirassleather	540	350	20	Light	2
51	cuirassplatemail	2798	2800	100	Medium	2
52	cuirassscalemail	2275	700	75	Light	2
53	cuirassstuddedleather	900	700	30	Medium	2
54	cuirassyoroi	1515	1400	80	Medium	2
55	gauntletschainmail	450	200	50	Heavy	1
56	gauntletsleather	270	50	20	Light	1
57	gauntletsplatemail	919	400	100	Heavy	1
58	gauntletsscalemail	300	100	75	Light	1
59	gauntletsstuddedleather	450	100	30	Medium	1
60	girthleather	270	100	20	Light	1
61	girthplatemail	1099	800	100	Heavy	1
62	girthscalemail	600	200	75	Light	1
63	girthstuddedleather	350	200	30	Medium	1
64	girthyoroi	600	400	80	Medium	1
65	greavesleather	420	100	20	Light	1
66	greavesplatemail	919	800	100	Heavy	1
67	greavesscalemail	533	200	75	Light	1
68	greavesstuddedleather	450	200	30	Medium	1
69	greavesyoroi	450	400	80	Medium	1
71	hauberkchainmail	1515	2200	50	Heavy	4
72	hauberkplatemail	3596	4400	100	Heavy	4
73	hauberkscalemail	1831	1100	75	Light	4
74	heaume	600	1200	150	Heavy	1
75	helmet	533	600	100	Medium	1
76	helmhorned	666	400	100	Medium	1
77	kabuton	533	600	100	Medium	1
78	kote	360	400	60	Medium	1
80	leggingschainmail	1515	800	50	Heavy	2
81	leggingsleather	960	200	20	Light	2
82	leggingsplatemail	2200	1600	100	Heavy	2
83	leggingsscalemail	1132	400	75	Light	2
84	leggingsstuddedleather	900	400	30	Medium	2
85	mailcoif	140	600	60	Heavy	1
86	pauldronsleather	420	100	20	Light	1
87	pauldronsplatemail	720	800	100	Heavy	1
88	pauldronsscalemail	300	200	75	Light	1
89	pauldronsstuddedleather	350	200	30	Medium	1
90	pauldronsyoroi	383	400	80	Medium	1
96	shirtchainmail	1132	1800	50	Heavy	3
97	shirtleather	810	450	20	Light	3
98	shirtscalemail	1625	900	75	Light	3
99	shirtstuddedleather	1000	900	30	Medium	3
101	sleeveschainmail	600	800	50	Heavy	2
