912a0012	Qalaba'r Seaside Villas
d65a001d	Chi Zou Cottages
bc870024	North Lytelthorpe Villas
bba80023	East Span Way Settlement (Cottages)
d47e001c	Siege Road Settlement (Cottages)
9b700037	Yushad Ridge Settlement (Cottages)
ce900010	Filos' Font Cottages
b715003d	Kara Mansion
ce57000c	Sawato Foothills Settlement (Cottages)
c3870014	Meridian Cottages
b1a30012	Witshire Mansion
b391001a	Hilltop Mansion
c18f001c	Leafdawning Settlement (Cottages)
bb8e0025	West Rithwic Estates (Villas)
d5d00015	Unnamed Villa
dcd20026	Unnamed Villa
bf1a0019	Ishilai Inlet Settlement (Cottages)
94ce0024	Highland Manors (Villas)
c2200018	North Adjamaer Cottages
7c6c000e	North Yaraq Villas
a09c001d	Auroch Pasture Estates (Villas)
569c0022	Danby's Outpost Mansion
9b5f001b	West Uziz Settlement (Cottages)
965a0025	Dry Bone Manors (Villas)
ec49001d	Southwest Hebian-To Settlement (Cottages)
40bf0024	Rivermouth Villas
3dc7002d	Adams' Beach (Cottages)
b598001d	Cragstone Farms (Cottages)
bc950025	South Victory Harbor (Cottages)
bab20024	Holtburg Wilderness Settlement (Cottages)
d1ab001d	South Beach Pass Villas
d5a90036	Seaside Mansion
d1a50024	Cape Feirgard Cottages
caa30024	Southeast Arwic Settlement (Cottages)
c39f0014	Isle of Tears  Mansion
ca9c001d	North Eastham Meadow (Cottages)
c7980026	Strathelar's Watch Cottages
c794001e	Lake Blessed Cottages
d6ba002d	Beach Pass Villas
cfc0001c	Sennon Valley Retreat (Cottages)
c9c30025	Far Claw Villas
cfc5002e	Enchantment Mansion
c0dd001c	Norstead (Cottages)
b6d8001d	Bandit Road Villas
a8da0015	Virindi Complex Mansion
9bd80024	Neydisa Village (Cottages)
98c6001d	Prosper River Headwaters (Cottages)
a6cb0024	New Colier (Cottages)
a2d90025	East Esper Valley (Cottages)
b2b3001d	Evensong Settlement (Cottages)
b2b9001d	West Holtburg Villas
abbe001d	Mountain Keep Cottages
a3bb001c	Lilyglen Cottages
a49f001c	Iceea Hills Estates (Villas)
a6a70024	Glenden Hills East Settlement (Cottages)
a0ab001c	Glenden Hills North Settlement (Cottages)
9baa0024	Mountain Ridge (Cottages)
96a8001c	Eaves of Tiofor Settlement (Cottages)
99b00026	Unnamed Cottage
96b60025	Woodsbane Cottages
92b3002d	Bucolic Villas
90aa0014	Whispering Pines Cottages
8aa6002c	Majestic Hill Cottages
8ea10015	Power Plant Mansion
99a2002b	Underground Forest Mansion
9b9b001d	Zabool Overlook Settlement (Cottages)
a698001f	Unnamed Villa
ae91001c	Forgotten Hills (Cottages)
c77f001c	East Lytelthorpe Settlement (Cottages)
c27c001c	South Lytelthorpe (Cottages)
bb79001c	North Yanshi Plains Settlement (Cottages)
ac810025	Adventurer's Haven Cottages
b77d000b	Seedsow Festival Stone Mansion
9419001c	Simda'r Villas
9b27000b	Unnamed Villa
a52d0015	Unnamed Cottage
9a30001c	Roadside Mansion
962c002c	Forking Trail Mansion
a23d001c	South Khayyaban Cottages
a04b0023	Bhah Dhah Villas
98440025	Dunes End Cottages
8e400025	Serpent Hills Settlement (Cottages)
9654001c	Al-Hatar Settlement (Cottages)
9350001d	Monument Sands Settlement (Cottages)
8b55001d	Al-Kasan Settlement (Cottages)
8556001c	Ijaniya (Cottages)
92600024	Arqasanti (Cottages)
8c5f001d	Wi Badlands Settlement (Cottages)
815e001d	South Yaraq Cottages
