0800000E	080002B3
0800000F	080002B5
08000014	080002BC
08000015	080002BD
08000016	080002B9
08000017	080002B8
08000019	080002B7
0800001A	080002B6
08000037	0800051B
08000038	08000CBD
08000039	08000B0A
0800003A	08000CBE
0800003B	08000CBC
0800003C	08000CB8
0800003D	08000CB9
0800003E	08000CBB
08000043	080001B1
08000044	080001AE
08000045	080001AD
08000046	080001B0
08000047	080001AF
08000048	080001B2
0800004C	08000A4A
0800004D	08000A49
08000056	08000B02
08000057	08000B06
08000058	08000B01
0800005C	08000D41
0800005D	08000505
0800005E	0800057C
0800005F	080005DF
08000061	08000506
08000062	08000507
0800006B	080011AA
0800006D	08000392
0800006E	08000398
0800006F	0800038F
08000071	08000393
08000077	08000139
0800007B	08000397
0800007D	08000399
0800007F	0800039D
08000080	0800039E
08000081	0800039F
08000082	08000395
08000083	08000396
08000084	0800039C
08000085	08000394
0800008D	080001E2
0800008F	080001E3
08000090	080001E5
08000091	080001E6
08000092	080001E8
08000093	080001E0
08000094	080001E7
08000095	080001E1
08000096	080001E9
08000097	080001E4
0800009B	0800063B
0800009C	08000A04
0800009D	0800063C
0800009E	080009AD
0800009F	08000A05
080000A1	0800088B
080000CB	0800083E
08000132	08000C26
08000135	0800094E
08000136	08000262
0800018A	080004B3
080001C4	08000960
080001FE	08000B05
08000203	080006F7
08000205	0800077E
08000206	0800077F
08000207	08000453
08000208	08000780
08000209	08000452
0800020A	0800044F
0800020B	08000450
0800020C	08000451
0800020D	08000CC0
08000212	08000CBF
08000213	08000CC1
08000217	0800076C
08000223	08000CD3
08000224	08000CD4
08000225	080005DC
08000226	080005DE
08000227	080005DD
08000229	08000CD9
0800022A	08000CD8
0800022C	08000CD6
0800022D	08000CD5
0800022E	08000CD7
0800022F	08000CDA
08000234	08000200
08000237	080001FE
0800023E	0800052B
08000242	08000524
08000243	0800052A
08000246	08000825
08000247	0800050C
08000248	0800050D
08000249	08000361
08000252	0800096E
08000255	08000823
08000256	08000824
0800025A	08000215
0800025B	0800052C
0800025C	0800052D
0800025D	080004CC
0800025F	080003EB
08000260	0800035F
08000261	08001488
08000266	080009AE
08000269	08000528
0800026B	08000529
08000286	08000C91
08000287	08000C92
08000288	08000C94
08000289	08000C93
0800028A	08000C96
0800028B	08000C95
08000295	08000202
080002A6	08000746
080002A8	08000C5F
080002A9	08000C5D
080002AA	08000C5E
080002AB	08000997
080002AC	08000996
080002B1	08000A84
080002B2	08000A62
080002B3	08000CEA
080002B4	08000CE9
080002B5	08000A5F
080002B6	08000A61
080002B7	08000A63
080002B8	08000A60
080002BD	080002BB
080002C0	08000511
080002C7	080009EA
080002CC	08000B03
080002CD	08000B04
080002D7	080004A6
080002D8	080006C1
080002DD	08000CBA
080002E1	08000581
080002E2	08000582
080002EA	0800050F
080002F1	0800061B
080002F4	0800021D
08000303	08000512
08000315	08000C97
08000329	08000817
0800032A	0800076D
0800032B	08000AF0
0800032C	0800076A
0800032D	08000518
0800032F	08000C30
08000330	08000C2F
08000336	08000AEF
0800033A	08000B00
0800033B	08000C20
0800033C	0800074B
0800033E	08000AFF
08000345	0800051A
0800034B	08000C21
0800035F	08000770
08000360	08000771
08000372	08000818
0800038D	080006A9
08000390	08000218
080003A0	080012A7
080003A1	0800076F
080003A2	0800076E
080003A8	0800051D
080003A9	080005F5
080003AA	080004E4
080003AB	080005F4
080003C3	080005DB
080003C5	08000678
080003C6	080003A8
080003C7	080003A9
080003C8	080003AA
080003C9	08000B13
080003CA	08000B14
080003CC	08000C98
080003DC	080003B2
080003DD	08000283
080003DE	08000384
080003E9	080007E0
080003EC	080001B9
080003F0	0800021B
080003FB	08000128
08000413	080001BA
08000414	080001BC
08000416	080001BD
08000417	080001BE
08000448	0800022D
0800044D	080002E4
08000450	08000335
08000451	08000333
08000456	0800012C
08000457	0800012B
08000458	0800012D
0800045F	080007DD
08000475	080000DD
0800047E	08000034
080004B4	080005E3
080004C6	08000519
080004C8	080006AA
080004CF	080001FF
080004D1	080001FB
080004D2	080001FA
080004D3	080001FC
080004D6	080001FD
080004D8	08000201
080004DA	0800012E
080004DC	0800012F
080004DE	08000D1C
080004DF	08000385
080004E1	080002E2
080004E2	0800027A
080004E3	080004F3
080004E4	080004F2
080004E7	080001C2
080004E8	080001BF
080004EA	080001BB
080004EF	08000216
080004F0	08000219
080004F2	08000217
080004F3	08000869
080004F4	08000226
080004F6	0800020F
080004F7	0800020E
080004F8	0800020C
080004F9	0800020D
080004FA	0800021A
080004FC	08000447
080004FD	08000522
08000500	08000B68
08000501	08000B6A
08000502	08000B69
08000503	0800021C
08000505	080003DA
08000506	080003D8
08000507	080003D7
0800050C	080001F4
0800050F	0800020A
08000510	0800020B
08000514	080004FB
08000516	08000491
08000517	08000CF1
08000518	0800052E
0800051D	08000B3F
0800051F	08000677
08000520	08000679
08000529	080001EF
0800052A	080001B5
0800052B	080001B7
08000536	0800051F
08000538	0800051E
08000539	080009EC
0800053D	080003D9
0800053F	0800067F
08000550	080002D6
0800055A	08000BD6
08000582	0800060A
0800058C	0800019A
0800058D	08000199
0800058E	08000192
0800058F	08000195
08000591	0800019B
08000592	08000196
08000593	08000197
08000594	08000198
08000595	08000193
08000596	08000194
08000597	0800019C
08000598	0800019D
08000599	0800019E
080005A9	08000AC1
080005D3	08000C32
080005E2	080003C2
08000623	080006B0
0800062F	0800074D
08000630	080011C5
080006A6	080000DF
080006AB	08000CB7
080006AE	08000861
080006AF	08000207
080006B0	08000208
080006B1	08000206
080006B5	08000362
080006B9	080006AE
080006BA	080006AB
080006BB	080006AD
080006BC	080006AC
080006D0	08001489
080006D1	0800148A
080006D2	08000714
080006D5	08000713
08000730	080004AF
08000736	08000021
08000738	08000350
08000739	08000351
08000742	08000129
08000746	08000517
08000748	08000516
0800075B	0800051C
0800075C	0800074A
0800075D	08000229
0800075F	080001C3
0800079F	0800013C
080007A0	08000712
080007C0	080002D1
080007C5	0800143D
080007C7	0800177C
080007C8	0800014D
080007D5	080002D8
08000820	08000C25
0800083E	0800073E
08000841	08000B72
0800084A	080005F6
08000853	080002E5
08000856	08000210
0800085E	08000762
08000876	08000B28
08000884	08000152
08000895	08000523
08000896	08000225
080008A8	08000086
080008A9	08000085
080008CE	080001F0
080008D2	080000A2
080008E4	080001B6
080008E8	080001A3
080008E9	080001A0
080008EA	080001A1
080008ED	08000102
080008EE	080001A2
080008EF	0800050A
080008F1	080004F1
080008F2	08000052
080008FF	080000EC
08000901	0800023B
08000902	0800023A
0800090A	080000F6
08000912	080000EF
08000913	080000ED
08000915	080000E9
08000916	080000F0
08000919	080000F3
0800091A	080000EB
0800091B	080000F4
0800091C	080000F1
0800091D	080000F2
0800091E	080000EA
08000920	080000EE
08000921	080000F5
08000922	080000F7
08000923	080000F8
0800092A	080004EC
0800092B	0800022E
0800092E	080001C0
0800092F	08000209
