level	xpAmount	newXpAmount	Name
1	5	22	Brown Mouse(ratbrowntiny)
1	5	22	White Mouse(ratwhitetiny)
2	3	47	Black Bunny(rabbitbabyblack)
2	3	47	Brown Bunny(rabbitbabybrown)
2	3	47	Desert Bunny(rabbitbabydesert)
2	5	47	Black Rabbit(rabbitblack)
2	5	47	Brown Rabbit(rabbitbrown)
2	5	47	Desert Rabbit(rabbitdesert)
2	12	47	Chick(chickenbaby)
2	18	50	Drudge Skulker(drudgeskulkersewer)
2	19	50	Cow(cowbrown)
2	19	50	Cow(cowspecial)
2	19	50	Cow(cow)
2	25	65	Shadow Sprite(shadowspritetufa)
2	35	47	Gnawer Shrethlet(shrethbabygnawer)
2	36	51	Carenzi Pouchling(carenzipouchling_xp)
2	39	50	Spiny Armoredillo Pup(armoredillobabyspiny)
2	48	50	Scavenger Ursuin Cub(ursuinbabyscavenger)
3	21	78	Drudge Sneaker(drudgesneakersewer)
4	30	108	Chicken(chickenhen)
4	30	108	The Chicken(chickencrossingroad)
4	45	114	Drudge Skulker(drudgeskulker)
4	45	114	Drudge Skulker(drudgeskulker_noaggro)
4	45	114	Drudge Skulker(drudgeskulkerdancer)
4	57	120	Skeleton(skeleton)
4	64	168	Stringent(acidelementalstringent)
4	68	168	Static(lightningelementalstatic)
4	68	168	Flake(frostelementalflake)
4	68	168	Flicker(fireelementalflicker)
4	70	111	Gnawer Shreth(shrethgnawer)
4	70	111	Gnawer Shreth(shrethgnawer_noaggro)
4	71	123	Drudge Prowler(drudgecolier)
4	74	111	Russet Rat(ratrusset)
4	74	111	White Rat(ratwhite)
4	75	111	Tan Rat(rattan)
4	78	120	Spiny Armoredillo(armoredillospiny)
4	81	117	Young Banderling(banderlingyoung)
4	81	117	Sir Belfelor(knightkarlunsirbelfelor)
4	81	117	Sir Coretto(knightkarlunsircoretto)
4	81	117	Knight of Karlun Guard(knightkarlunguard_noagrro)
4	81	117	Young Banderling(banderlingyoung_noaggro)
4	82	117	Brown Armoredillo Pup(armoredillobabybrown)
4	86	120	Skeleton(skeletonnew)
4	87	120	Red Phyntos Wasp(phyntoswaspred)
4	88	114	Mite Snippet(mitesnippet_noaggro)
4	88	114	Mite Snippet(mitesnippet)
4	92	114	Young Mosswart(mosswartyoung_noaggro)
4	92	114	Young Mosswart(mosswartyoung)
4	97	120	Scavenger Ursuin(ursuinscavenger)
4	100	149	Shadow Sprite(shadowsprite)
4	108	123	Auroch Yearling(aurochyearling)
4	111	171	Rickety Scarecrow(scarecrowrickety)
4	142	123	Carenzi Sentry(carenzibethel-xp)
4	142	123	Carenzi Sentry(carenzisentry_xp)
4	220	198	Small Shadow Spire Child(shadowchildsmallspire)
4	220	198	Small Shadow Child(shadowchildmeditate)
5	90	238	Lag Beast(lagbeast)
5	105	152	Old Bones(skeletonoldbones)
5	113	152	Drudge Slinker(drudgecoveapple)
5	113	152	Drudge Slinker(drudgefood)
5	113	152	Drudge Slinker(drudgeslinker)
5	113	152	Drudge Slinker(drudgeslinker_noaggro)
5	128	160	Marsh Siraluun(siraluunmarsh_xp)
5	148	160	Outcast Monouga(monougagiant)
5	150	148	Carrion Shrethlet(shrethbabycarrion)
5	154	160	Reedshark Stripling(reedsharkfloe)
5	154	160	Reedshark Stripling(reedsharkstripling)
5	157	152	Old Bones(skeletonoldbones_noaggro)
5	157	160	Reedshark Pup(reedsharkpup)
5	158	160	Spikey Armoredillo Pup(armoredillobabyspikey)
5	159	152	Mite Scion(mitescion)
5	159	152	Mite Scion(mitescion_noaggro)
5	159	148	Grey Rat(ratgrey)
5	168	168	Brown Armoredillo(armoredillobrown)
5	192	179	K'nath Z'bog(knathzbog)
5	213	160	Rust Gromnie(gromnierust)
5	218	159	Green Phyntos Wasp(phyntoswaspgreen)
5	225	238	Ethereal Wisp(wispethereal)
6	30	193	Bandit(bandit)
6	100	203	Red Phyntos Wasp(phyntoswaspred-immobile)
6	120	204	Gromnie(gromnie)
6	121	204	Gromnie Hatchling(gromniehatchling)
6	131	199	Pile O' Bones(skeletonpileobones)
6	131	199	Accursed Miner(skeletonaccursedminer)
7	50	226	Rooster(chickenrooster)
7	136	245	Drudge Sneaker(drudgesneaker)
7	137	252	Tumerok Worker(tumerokkeyone)
7	186	252	Creeper Mosswart(mosswartcreeper_noaggro)
7	200	239	Carrion Shreth(shrethcarrion)
7	209	285	Chilly the Snowman(snowmanfrosty)
7	234	281	K'nath N'gell(knathngell)
7	279	252	Creeper Mosswart(mosswartcreeper)
7	285	258	Stony Armoredillo Pup(armoredillobabystony)
7	296	264	Tidal Siraluun(siraluuntidal_xp)
7	304	245	Brown Rat(ratbrown)
7	305	264	Mite Digger(mitedigger)
7	307	258	Mosswart Feeder(mosswartfeeder)
7	307	258	Mosswart Feeder(mosswartfood)
7	319	252	Mite Scamp(miteemissary)
7	319	252	Mite Scamp(mitescamp)
7	319	252	Mite Scamp(mitefood)
7	325	239	Blood Shrethlet(shrethbabyblood)
7	326	277	Spikey Armoredillo(armoredillospikey)
7	334	414	Small Shadow Child(shadowchildsmall)
7	919	281	Red Phyntos Drone(phyntoswaspbossmonster)
9	194	359	Spiny Chittick(chittickspiny)
9	226	368	Olthoi Nymph Grub(olthoigrubnymph)
9	243	349	Bandit(humanbandit_xp)
9	304	368	Shallows Shark(shallowsshark)
9	337	549	Jibrit Zefir(zefirjibrit)
9	348	467	Water Golem(golemwater)
9	348	467	Water Golem(golemwater_nofall)
9	356	414	Stony Armoredillo(armoredillostony)
9	369	368	Banderling Scout(banderlingexplorer)
9	369	368	Banderling Scout(banderlingscoutdancer)
9	369	368	Banderling Scout(banderlingfood)
9	369	368	Banderling Scout(banderlingscout)
9	376	359	Tumerok Worker(tumerokworker)
9	376	359	Tumerok Worker(tumerokworkernofall)
9	376	359	Tumerok Worker(tumerokworkerfalcon)
9	376	359	Tumerok Worker(tumerokworkerarchernofall)
9	376	359	Tumerok Worker(tumerokworkerarcher)
9	383	423	Mud Golem(golemmud)
9	386	409	K'nath S'tath(knathstath)
9	390	538	Suspicious Scarecrow(scarecrowsuspicious)
9	406	349	Blood Shreth(shrethblood)
9	420	395	Auroch Bull(aurochbull)
9	420	395	Auroch Bull(aurochravager)
9	445	395	Auroch Cow(aurochcow)
9	447	349	White Mattie(mattekarbabywhite)
9	447	423	Zirconium Golem(golemzirconium)
9	450	359	Tonk Puh(tumerokoutcast-xp)
9	455	382	Blue Phyntos Wasp(phyntoswaspblue_nofall)
9	455	382	Blue Phyntos Wasp(phyntoswaspblue)
9	469	542	Water Wisp(wispwater)
9	469	542	Water Wisp(wispwater-nofall)
9	485	368	Field Ursuin Cub(ursuinbabyfield)
9	494	386	Lich Archmage(licharchmage)
9	534	386	Auroch Fire Yearling(aurochfireyearling)
10	358	461	Banderling Raider(banderlingcolier)
10	365	482	Banderling Sentry(banderlingguardden)
10	700	683	Parfal Niffis(niffisparfalfishingevent)
11	319	518	Mudlurk Mosswart(mosswartmudlurkgreenmire)
11	319	518	Mosswart Baby(mosswartdancingsteele)
11	328	530	Barker Mosswart(mosswartbarkergreenmire)
11	328	530	Mosswart Mucker(mosswartmuckerice)
11	328	530	Mosswart Mucker(mosswartmuckeracid)
11	334	530	Swamp Rat(lostlightholtburgrat)
11	382	608	Snowman(snowmanhappy)
11	477	617	Wood Golem(golemwood)
11	497	481	Azure Gromnie(gromnieazure)
11	498	506	Shallows Lurker(shallowslurker)
11	514	518	Hea Runner(tumerokhearunner_xp)
11	514	518	Aun Runner(tumerokaunrunner-xp)
11	517	826	Undead(zombieundead)
11	517	826	Undead(zombiecovecrypt)
11	523	709	Snowman(snowmanunhappy)
11	536	506	White Mattekar(mattekarwhite)
11	557	506	Ivory Gromnie(gromnieivory)
11	565	549	K'nath D'Nob(knathdnob)
11	582	530	Field Ursuin(ursuinfield)
11	582	530	Ursuin Rug Alive(ursuinrugalivemonster1)
11	582	530	Ursuin Rug Alive(ursuinrugalivemonster2)
11	649	469	Hunter Shrethlet(shrethbabyhunter)
11	667	549	K'nath N'osaj(knathnosaj)
11	667	549	K'nath N'osaj(knathnodnarb)
11	667	549	K'nath N'osaj(knathdynra)
11	667	549	K'nath N'osaj(knathddot)
11	667	549	K'nath N'osaj(knathradnas)
11	667	549	K'nath N'osaj(knathkram)
11	667	549	K'nath N'osaj(knathrishc)
11	667	549	K'nath N'osaj(knathdivda)
11	667	549	K'nath N'osaj(knathbanry)
11	667	549	K'nath N'osaj(knathsonja)
11	717	752	Ghost Wisp(wispghost)
11	1373	530	Outcast Lord(monougabossmonster)
12	154	562	Bandit(banditnoir)
12	294	562	Tusker Kin(humantuskerkin)
12	362	562	Drudge Servant(drudgelowslave)
12	411	576	Alfrega the Reedshark(reedsharkalfrega)
12	489	534	Injured Olthoi(olthoiinjurednofall)
12	489	534	Injured Olthoi(olthoiinjured)
12	518	815	Banderling Captain(alfrethbanderlingcaptain)
12	541	520	Black Rat(ratblack)
12	541	520	Black Rat(ratjoey)
12	541	520	Black Rat(ratdeedee)
12	541	520	Black Rat(rayjoey)
12	559	576	Adult Reedshark(reedshark)
12	575	727	Limestone Golem(golemlimestone)
12	630	1125	Shadow Spire(shadowspire)
12	634	562	Red Rat(ratred)
12	671	865	Shifty Scarecrow(scarecrowshifty)
12	707	826	Parfal Niffling(niffisbabyparfal)
12	746	945	Lesser Mu-miyah(mumiyahlesser)
12	756	583	Mire Phyntos Wasp(phyntoswaspmire)
12	757	562	Hunter Shreth(shrethhunter)
12	767	576	Jade Gromnie(gromniejade)
12	813	604	Swamp Gromnie(gromnieswamp)
12	852	534	Snowy Mattie(mattekarbabysnowy)
12	1000	1125	Shadow Child(shadowchildtufa)
13	477	699	Green Deru(derugreen)
14	694	939	Ice Golem(golemice)
14	723	1037	Sandstone Golem(golemsandstone)
14	731	730	Reedshark Elder(reedsharkelder)
14	771	899	Virtuous Doll(dollvirtuous_xp)
14	778	819	Olthoi Worm(olthoiworm)
14	778	819	Olthoi Worm(olthoiwormnofall)
14	800	1513	Eastham Spire Shadow(shadowspireeastham)
14	800	1513	Cragstone Spire Shadow(shadowspirecragstone)
14	800	748	Bronze Statue of a Reedshark(statuereplicalowreedsharksmall)
14	808	1064	Parfal Niffis(niffisparfal)
14	809	801	Banderling Raver(banderlingraverdancer)
14	809	765	Banderling Raider(banderlingraider)
14	809	894	Banderling Raver(banderlingraver)
14	815	801	Banderling Breeder(banderlingbreeder)
14	827	730	Veteran Reedshark(reedsharkveteran)
14	839	846	K'nath T'aed(knathtaed)
14	868	765	Mite Sentry(mitesentry)
14	872	748	Mudlurk Mosswart(mosswartmudlurk)
14	872	748	Mudlurk Mosswart(mosswartfeedergreenmire)
14	882	801	Banderling Guard(banderlingguard)
14	895	748	Mite Squib(mitesquib)
14	900	748	Sallow Moarsman(moarsmansallow)
14	930	730	Drudge Robber Baron(drudgerobberbaron)
14	930	930	Brigand(humanbrigand_xp)
14	930	730	Drudge Slave(drudgehighslave)
14	973	730	Snowy Mattekar(mattekararctic)
14	973	730	Snowy Mattekar(mattekarsnowy)
14	982	1032	Banderling Captain(banderlingcaptain)
14	982	1032	Banderling Captain(banderlingcaptaincamp)
14	982	1032	Banderling Captain(banderlingcaptainmageacademy)
14	997	748	Charred Skeleton(skeletoncharred)
14	1064	694	Vorous Shrethlet(shrethbabyvorous)
14	1080	1153	Two Headed Snowman(snowman2heads)
14	1097	1277	Zombie(zombie)
14	1097	1277	Zombie(zombiesoulfearing_melee)
14	1112	819	Sneaky Simulacrum(simulacrumsneaky)
14	1137	730	Drudge Slave(lostlightshoushidrudge)
14	1137	730	Drudge Slave(lostlightsamsurdrudge)
14	1137	730	Drudge Slave(drudgeprowlergreenmire)
14	1137	730	Drudge Slave(drudgeprowlerglenden)
14	1137	730	Drudge Slave(lostlightyanshidrudge)
14	1137	730	Drudge Slave(lostlightyaraqdrudge)
14	1144	1015	Se Sclavus(sclavusse)
14	2050	712	Drudge Vagabond(drudgebossmonster)
15	411	1442	Mosswart Shaman(mosswartswampshaman)
15	650	1383	Undead Miner(undeadcolier)
15	650	1402	Undead Miner(undeadminer)
15	762	892	Male Tusker(sylsfeartuskermale)
16	621	1251	Aste Sclavus(sclavusastefolthid)
16	700	1009	Rough Monouga(monougarough)
16	750	922	Bronze Statue of a Drudge(statuereplicalowdrudgesmall)
16	803	1772	Tumerok Officer(tumerokkeythree)
16	890	1492	Kilif Zefir(zefirkilifmageacademy)
16	890	1377	Kilif Zefir(zefirkilif)
16	893	856	Tumerok Scout(tumerokscout)
16	893	856	Tumerok Scout(tumerokscoutarchernofall)
16	893	856	Tumerok Scout(tumerokscoutlowhaft)
16	893	856	Tumerok Scout(tumerokscoutnofall)
16	893	856	Tumerok Scout(tumerokscoutarcher)
16	912	965	Female Tusker(tuskerfemaledancer)
16	931	878	Bronze Armoredillo Pup(armoredillobabybronze)
16	990	900	Sandy Armoredillo Pup(armoredillobabysandy)
16	1037	1355	Listris Niffling(niffisbabylistris)
16	1067	944	Desert Rat(lostlightrithwicrat)
16	1067	944	Desert Rat(ratdesert)
16	1068	944	Barker Mosswart(mosswartbarker)
16	1158	900	Tiofor Ursuin Cub(ursuinbabytiofor)
16	1159	944	Swamp Rat(ratswamp)
16	1159	944	Swamp Rat(ratswampxara)
16	1165	922	Shallows Slayer(shallowsslayer)
16	1176	1371	Shady Scarecrow(scarecrowenslaved)
16	1176	1371	Shady Scarecrow(scarecrowshady)
16	1197	900	Vorous Shreth(shrethvorous)
16	1292	1563	Shadow Child(shadowchild)
16	1339	856	Great Mattie(mattekarbabygreat)
16	1434	1311	Ice Golem (NEW)(golemicenew)
17	717	1112	Tall Deru(derutall)
17	750	1063	Bronze Statue of a Gromnie(statuereplicalowgromniesmall)
17	800	1063	Bronze Statue of a Mosswart(statuereplicalowmosswartsmall)
17	1100	1015	Hebian-To Camp Standard Bearer(tumerokhebiancampa)
17	1100	1015	Cragstone Camp Standard Bearer(tumerokcragstonecampa)
17	1100	1015	Zaikhal Camp Standard Bearer(tumerokzaikhalcampa)
18	405	1523	Tusker Kin(humantuskerkinmage)
18	507	1165	Olthoi Harvester(boygrubinfestedharvester-xp)
18	752	1192	Guardian of the Crypt(skeletonguardian)
18	783	1033	Tuskie Tosser(tuskietosser-nofall)
18	783	1033	Tuskie Tosser(tuskietosser)
18	819	1192	Female Tusker(tuskerfemale_tusk)
18	819	1192	Female Tusker(tuskerfemale)
18	819	1192	Female Tusker(tuskerfemale-nofall)
18	847	1192	Olthoi Nettler(olthoiflyernettler)
18	878	1549	Singe(acidelementalsinge)
18	899	1523	Chill(frostelementalchill)
18	910	1523	Flare(fireelementalflare)
18	910	1523	Flare(fireelementalflarenofall)
18	910	1523	Spark(lightningelementalspark)
18	918	1112	Sharp Chittick(chitticksharp)
18	1013	1192	Laigus Lugian(lugianlaigus)
18	1034	1192	Bronze Armoredillo(armoredillobronze)
18	1086	1192	Highwayman(humanhighwaymanlow)
18	1100	1218	Sandy Armoredillo(armoredillosandy)
18	1143	1192	Gotrok Laigus(lugianlaigusrenegade)
18	1147	2159	Hea Drumspeaker(tumerokheadrumspeaker_xp)
18	1147	2159	Aun Drumspeaker(tumerokaundrumspeaker-xp)
18	1150	1086	Prospector(bossdeedlow)
18	1152	1741	Listris Niffis(niffislistris)
18	1156	1218	Olthoi Larvae(olthoigrublow-nofall)
18	1156	1218	Olthoi Grub(olthoigrub)
