xpAmount	calc	newXpAmount	WeenieClassNameOrQuestName	WeenieClassId	EmoteCategory	SourceWeenieId	SourceWeenieClassName	DroppedBy
500	470	-1002	carenzipeltpouchling-xp	11340	6	11345	bluespirecollector_xp	Carenzi Pouchling(carenzipouchling_xp - level: 2),
500	1,080	-1004	armoredillohidesmall	4232	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Spiny Armoredillo(armoredillospiny - level: 4),Brown Armoredillo(armoredillobrown - level: 5),
750	1,080	-1004	carenzipeltsentry-xp	11342	6	11347	redspirecollector_xp	Carenzi Sentry(carenzibethel-xp - level: 4),Carenzi Sentry(carenzisentry_xp - level: 4),
500	1,080	-1004	drudgecharm	3669	6	3917, 3918, 3920, 11345, 11346, 11347, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, bluespirecollector_xp, easternshorecollector_xp, redspirecollector_xp, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Reward Backpack for Martine Live Ops(backpackmartinelo - level: 0),Drudge Skulker(drudgeskulker - level: 4),Drudge Prowler(drudgeprowler - level: 7),Drudge Slinker(drudgeslinker - level: 5),Drudge Sneaker(drudgesneaker - level: 7),Drudge Slave(drudgeprowlerglenden - level: 14),Drudge Robber(drudgerobber - level: 7),Drudge Servant(drudgelowslave - level: 12),Drudge Slave(drudgehighslave - level: 14),Drudge Vagabond(drudgebossmonster - level: 14),Drudge Skulker(drudgeskulker_noaggro - level: 4),Drudge Slinker(drudgeslinker_noaggro - level: 5),Drudge Seraph(drudgeseraph - level: 161),Drudge Prowler(drudgeprowlermosswartexodus - level: 7),Drudge Prowler(eaterinsatiable - level: 7),Drudge Prowler(eaterrabid - level: 7),Drudge Prowler(eaterravenous - level: 7),Drudge Prowler(eaterrepugnant - level: 7),Drudge Prowler(eatervoracious - level: 7),Drudge Prowler(eater - level: 7),Drudge Prowler(eaterabhorrent - level: 7),Drudge Prowler(eaterengorged - level: 7),Drudge Prowler(fiunderanged - level: 7),Drudge Prowler(fiunfrenzied - level: 7),Drudge Prowler(fiunhighmage - level: 7),Drudge Prowler(fiunmaddened - level: 7),Drudge Prowler(fiunraving - level: 7),Drudge Prowler(fiun - level: 7),Drudge Prowler(fiuncrazed - level: 7),Drudge Prowler(fiundemented - level: 7),Drudge Prowler(knightmercenary - level: 7),Drudge Prowler(knighttribune - level: 7),Drudge Prowler(knightviamontian - level: 7),Drudge Prowler(knightcommander - level: 7),Drudge Prowler(knighthand - level: 7),Drudge Prowler(knightlord - level: 7),Drudge Prowler(knightmanatarms - level: 7),Drudge Prowler(penguinsycophantic - level: 7),Drudge Prowler(penguinuberhigh - level: 7),Drudge Prowler(penguinuberlow - level: 7),Drudge Prowler(penguinubermid - level: 7),Drudge Prowler(penguin - level: 7),Drudge Prowler(penguinarrogant - level: 7),Drudge Prowler(penguinaugmented - level: 7),Drudge Prowler(penguinrebellious - level: 7),Drudge Prowler(ruschkslayer - level: 7),Drudge Prowler(ruschkvile - level: 7),Drudge Prowler(ruschkwarlord - level: 7),Drudge Prowler(ruschkbarbaric - level: 7),Drudge Prowler(ruschkfiend - level: 7),Drudge Prowler(ruschkshatterer - level: 7),Drudge Prowler(thrungusbutton - level: 7),Drudge Prowler(thrungusdeathcap - level: 7),Drudge Prowler(thrungusenoki - level: 7),Drudge Prowler(thrungusportobello - level: 7),Drudge Prowler(thrungusshiitake - level: 7),Drudge Prowler(thrungus - level: 7),Drudge Prowler(thrungusbeefsteak - level: 7),Drudge Prowler(knightsirbellas - level: 7),Drudge Prowler(fiunmaddenedreasearchassistant - level: 7),Drudge Prowler(fiunmaddenedabayar - level: 7),Drudge Prowler(eatermarauder - level: 7),Drudge Prowler(penguincave - level: 7),Drudge Prowler(penguincavegreat - level: 7),Drudge Prowler(eaterravenousjawdropper - level: 7),Drudge Prowler(eaterinsatiablejawdropper - level: 7),Drudge Prowler(eaterengorgedjawdropper - level: 7),Drudge Prowler(eatervoraciousjawdropper - level: 7),Drudge Prowler(eaterabhorrentjawdropper - level: 7),Drudge Prowler(ruschkfledgemaster - level: 7),Drudge Prowler(ruschkfledge - level: 7),Drudge Prowler(thrungusporcini - level: 7),Drudge Prowler(thrungustruffle - level: 7),Drudge Prowler(thrungusmorel - level: 7),Drudge Prowler(thrunguscrimini - level: 7),Drudge Prowler(knightmagewarcaster - level: 7),Drudge Prowler(knightmagewarwizard - level: 7),Drudge Prowler(knightmagecounselor - level: 7),Drudge Prowler(knightmageroyalthaumaturge - level: 7),Drudge Prowler(knightmage - level: 7),Drudge Prowler(eaterlola - level: 7),Drudge Prowler(thrungusthievingnewbieacademy - level: 7),Drudge Prowler(ruschkkartak - level: 7),Drudge Prowler(ruschklaktar - level: 7),Drudge Prowler(ruschkdraktehn - level: 7),Drudge Prowler(ruschksadist - level: 7),Drudge Prowler(fiunmaniacal - level: 7),Drudge Prowler(knightexecutioner - level: 7),Drudge Prowler(knighttorturer - level: 7),Silver Legion Quartermaster(knightquartermastersilver - level: 7),Copper Legion Bodyguard(knightbodyguardcopper - level: 7),Gold Legion Bodyguard(knightbodyguardgold - level: 7),Platinum Legion Bodyguard(knightbodyguardplatinum - level: 7),Silver Legion Bodyguard(knightbodyguardsilver - level: 7),Captain Argenne(knightcaptainargenne1 - level: 7),Captain Argenne(knightcaptainargenne2 - level: 7),Captain Aurachon(knightcaptainaurachon1 - level: 7),Captain Aurachon(knightcaptainaurachon2 - level: 7),Captain Balanchi(knightcaptainbalanchi1 - level: 7),Captain Balanchi(knightcaptainbalanchi2 - level: 7),Captain Ramelle(knightcaptainramelle1 - level: 7),Captain Ramelle(knightcaptainramelle2 - level: 7),Copper Legion Guard(knightcastleguardcopper - level: 7),Gold Legion Guard(knightcastleguardgold - level: 7),Platinum Legion Guard(knightcastleguardplatinum - level: 7),Silver Legion Guard(knightcastleguardsilver - level: 7),Copper Legion Doorkeeper(knightdoorkeepercopper - level: 7),Gold Legion Doorkeeper(knightdoorkeepergold - level: 7),Platinum Legion Doorkeeper(knightdoorkeeperplatinum - level: 7),Silver Legion Doorkeeper(knightdoorkeepersilver - level: 7),General Corcima(knightgeneralcorcima1 - level: 7),General Corcima(knightgeneralcorcima2 - level: 7),Copper Legion Invader(knightinvadercopper - level: 7),Gold Legion Invader(knightinvadergold - level: 7),Platinum Legion Invader(knightinvaderplatinum - level: 7),Silver Legion Invader(knightinvadersilver - level: 7),Copper Legion Quartermaster(knightquartermastercopper - level: 7),Gold Legion Quartermaster(knightquartermastergold - level: 7),Platinum Legion Quartermaster(knightquartermasterplatinum - level: 7),Royal Prison Warden(knightroyalprisonwarden - level: 7),Atavistic Fiun(fiunmaddenedatavistic - level: 7),Cannibal Fiun(fiunmaddenedcannibal - level: 7),Drudge Prowler(knightexecutioner-nofall - level: 7),Drudge Prowler(knightcommander_nofall - level: 7),Drudge Prowler(knightviamontian_nofall - level: 7),Drudge Prowler(knighttribune_nofall - level: 7),Drudge Prowler(knighttorturer-nofall - level: 7),Drudge Prowler(knightmercenary-nofall - level: 7),Drudge Prowler(knightmanatarms_nofall - level: 7),Drudge Prowler(knightmagewarwizard_nofall - level: 7),Drudge Prowler(knightmagewarcaster_nofall - level: 7),Drudge Prowler(knightmageroyalthaumaturge_nofall - level: 7),Drudge Prowler(knightmagecounselor_nofall - level: 7),Drudge Prowler(knightmage_nofall - level: 7),Drudge Prowler(knightlord-nofall - level: 7),Drudge Prowler(knighthand-nofall - level: 7),Drudge Robber Baron(drudgerobberbaron - level: 14),Silver Legion Quartermaster(knightroyalguardmelee - level: 7),Silver Legion Quartermaster(knightroyalguardmagic - level: 7),Silver Legion Quartermaster(knightcastellancopper - level: 7),Silver Legion Quartermaster(knightcastellansilver - level: 7),Silver Legion Quartermaster(knightcastellangold - level: 7),Silver Legion Quartermaster(knightcastellanplatinum - level: 7),Withered Drudge Seraph(drudgeseraphwithered - level: 161),Withered Drudge Seraph(drudgeseraphwitheredboss - level: 161),Fallen Drudge(drudgebossuber0205 - level: 161),Drudge Prowler(eaterswordswallower - level: 7),Drudge Prowler(ace31040-tursh - level: 7),
1,000	1,080	-1004	letterrednewbiequest	8702	6	3917, 3918, 3920, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Drudge Skulker(drudgeskulker - level: 4),Drudge Prowler(drudgeprowler - level: 7),Drudge Slinker(drudgeslinker - level: 5),Drudge Sneaker(drudgesneaker - level: 7),Drudge Slave(drudgeprowlerglenden - level: 14),Drudge Robber(drudgerobber - level: 7),Drudge Servant(drudgelowslave - level: 12),Drudge Slave(drudgehighslave - level: 14),Drudge Skulker(drudgeskulker_noaggro - level: 4),Drudge Slinker(drudgeslinker_noaggro - level: 5),Drudge Prowler(drudgeprowlermosswartexodus - level: 7),Drudge Prowler(eaterinsatiable - level: 7),Drudge Prowler(eaterrabid - level: 7),Drudge Prowler(eaterravenous - level: 7),Drudge Prowler(eaterrepugnant - level: 7),Drudge Prowler(eatervoracious - level: 7),Drudge Prowler(eater - level: 7),Drudge Prowler(eaterabhorrent - level: 7),Drudge Prowler(eaterengorged - level: 7),Drudge Prowler(fiunderanged - level: 7),Drudge Prowler(fiunfrenzied - level: 7),Drudge Prowler(fiunhighmage - level: 7),Drudge Prowler(fiunmaddened - level: 7),Drudge Prowler(fiunraving - level: 7),Drudge Prowler(fiun - level: 7),Drudge Prowler(fiuncrazed - level: 7),Drudge Prowler(fiundemented - level: 7),Drudge Prowler(knightmercenary - level: 7),Drudge Prowler(knighttribune - level: 7),Drudge Prowler(knightviamontian - level: 7),Drudge Prowler(knightcommander - level: 7),Drudge Prowler(knighthand - level: 7),Drudge Prowler(knightlord - level: 7),Drudge Prowler(knightmanatarms - level: 7),Drudge Prowler(penguinsycophantic - level: 7),Drudge Prowler(penguinuberhigh - level: 7),Drudge Prowler(penguinuberlow - level: 7),Drudge Prowler(penguinubermid - level: 7),Drudge Prowler(penguin - level: 7),Drudge Prowler(penguinarrogant - level: 7),Drudge Prowler(penguinaugmented - level: 7),Drudge Prowler(penguinrebellious - level: 7),Drudge Prowler(ruschkslayer - level: 7),Drudge Prowler(ruschkvile - level: 7),Drudge Prowler(ruschkwarlord - level: 7),Drudge Prowler(ruschkbarbaric - level: 7),Drudge Prowler(ruschkfiend - level: 7),Drudge Prowler(ruschkshatterer - level: 7),Drudge Prowler(thrungusbutton - level: 7),Drudge Prowler(thrungusdeathcap - level: 7),Drudge Prowler(thrungusenoki - level: 7),Drudge Prowler(thrungusportobello - level: 7),Drudge Prowler(thrungusshiitake - level: 7),Drudge Prowler(thrungus - level: 7),Drudge Prowler(thrungusbeefsteak - level: 7),Drudge Prowler(knightsirbellas - level: 7),Drudge Prowler(fiunmaddenedreasearchassistant - level: 7),Drudge Prowler(fiunmaddenedabayar - level: 7),Drudge Prowler(eatermarauder - level: 7),Drudge Prowler(penguincave - level: 7),Drudge Prowler(penguincavegreat - level: 7),Drudge Prowler(eaterravenousjawdropper - level: 7),Drudge Prowler(eaterinsatiablejawdropper - level: 7),Drudge Prowler(eaterengorgedjawdropper - level: 7),Drudge Prowler(eatervoraciousjawdropper - level: 7),Drudge Prowler(eaterabhorrentjawdropper - level: 7),Drudge Prowler(ruschkfledgemaster - level: 7),Drudge Prowler(ruschkfledge - level: 7),Drudge Prowler(thrungusporcini - level: 7),Drudge Prowler(thrungustruffle - level: 7),Drudge Prowler(thrungusmorel - level: 7),Drudge Prowler(thrunguscrimini - level: 7),Drudge Prowler(knightmagewarcaster - level: 7),Drudge Prowler(knightmagewarwizard - level: 7),Drudge Prowler(knightmagecounselor - level: 7),Drudge Prowler(knightmageroyalthaumaturge - level: 7),Drudge Prowler(knightmage - level: 7),Drudge Prowler(eaterlola - level: 7),Drudge Prowler(thrungusthievingnewbieacademy - level: 7),Drudge Prowler(ruschkkartak - level: 7),Drudge Prowler(ruschklaktar - level: 7),Drudge Prowler(ruschkdraktehn - level: 7),Drudge Prowler(ruschksadist - level: 7),Drudge Prowler(fiunmaniacal - level: 7),Drudge Prowler(knightexecutioner - level: 7),Drudge Prowler(knighttorturer - level: 7),Silver Legion Quartermaster(knightquartermastersilver - level: 7),Copper Legion Bodyguard(knightbodyguardcopper - level: 7),Gold Legion Bodyguard(knightbodyguardgold - level: 7),Platinum Legion Bodyguard(knightbodyguardplatinum - level: 7),Silver Legion Bodyguard(knightbodyguardsilver - level: 7),Captain Argenne(knightcaptainargenne1 - level: 7),Captain Argenne(knightcaptainargenne2 - level: 7),Captain Aurachon(knightcaptainaurachon1 - level: 7),Captain Aurachon(knightcaptainaurachon2 - level: 7),Captain Balanchi(knightcaptainbalanchi1 - level: 7),Captain Balanchi(knightcaptainbalanchi2 - level: 7),Captain Ramelle(knightcaptainramelle1 - level: 7),Captain Ramelle(knightcaptainramelle2 - level: 7),Copper Legion Guard(knightcastleguardcopper - level: 7),Gold Legion Guard(knightcastleguardgold - level: 7),Platinum Legion Guard(knightcastleguardplatinum - level: 7),Silver Legion Guard(knightcastleguardsilver - level: 7),Copper Legion Doorkeeper(knightdoorkeepercopper - level: 7),Gold Legion Doorkeeper(knightdoorkeepergold - level: 7),Platinum Legion Doorkeeper(knightdoorkeeperplatinum - level: 7),Silver Legion Doorkeeper(knightdoorkeepersilver - level: 7),General Corcima(knightgeneralcorcima1 - level: 7),General Corcima(knightgeneralcorcima2 - level: 7),Copper Legion Invader(knightinvadercopper - level: 7),Gold Legion Invader(knightinvadergold - level: 7),Platinum Legion Invader(knightinvaderplatinum - level: 7),Silver Legion Invader(knightinvadersilver - level: 7),Copper Legion Quartermaster(knightquartermastercopper - level: 7),Gold Legion Quartermaster(knightquartermastergold - level: 7),Platinum Legion Quartermaster(knightquartermasterplatinum - level: 7),Royal Prison Warden(knightroyalprisonwarden - level: 7),Atavistic Fiun(fiunmaddenedatavistic - level: 7),Cannibal Fiun(fiunmaddenedcannibal - level: 7),Drudge Prowler(knightexecutioner-nofall - level: 7),Drudge Prowler(knightcommander_nofall - level: 7),Drudge Prowler(knightviamontian_nofall - level: 7),Drudge Prowler(knighttribune_nofall - level: 7),Drudge Prowler(knighttorturer-nofall - level: 7),Drudge Prowler(knightmercenary-nofall - level: 7),Drudge Prowler(knightmanatarms_nofall - level: 7),Drudge Prowler(knightmagewarwizard_nofall - level: 7),Drudge Prowler(knightmagewarcaster_nofall - level: 7),Drudge Prowler(knightmageroyalthaumaturge_nofall - level: 7),Drudge Prowler(knightmagecounselor_nofall - level: 7),Drudge Prowler(knightmage_nofall - level: 7),Drudge Prowler(knightlord-nofall - level: 7),Drudge Prowler(knighthand-nofall - level: 7),Drudge Robber Baron(drudgerobberbaron - level: 14),Silver Legion Quartermaster(knightroyalguardmelee - level: 7),Silver Legion Quartermaster(knightroyalguardmagic - level: 7),Silver Legion Quartermaster(knightcastellancopper - level: 7),Silver Legion Quartermaster(knightcastellansilver - level: 7),Silver Legion Quartermaster(knightcastellangold - level: 7),Silver Legion Quartermaster(knightcastellanplatinum - level: 7),Drudge Prowler(eaterswordswallower - level: 7),Drudge Prowler(ace31040-tursh - level: 7),Creeper Mosswart(mosswartcreeper - level: 7),Mosswart Feeder(mosswartfeeder - level: 7),Creeper Mosswart(mosswartcreeper_noaggro - level: 7),Gnawer Shreth(shrethgnawer - level: 4),Carrion Shreth(shrethcarrion - level: 7),Gnawer Shreth(shrethgnawer_noaggro - level: 4),
500	1,080	-1004	rattailrusset	4134	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Russet Rat(ratrusset - level: 4),
500	1,080	-1004	rattailtan	4133	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Tan Rat(rattan - level: 4),
500	1,080	-1004	rattailwhite	3685	6	3917, 3918, 3920, 5122, 8229, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, nantowashi, xaracollector, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	White Rat(ratwhite - level: 4),
500	1,080	-1004	ursuinhidesmall	8674	6	24576, 4213, 4214, 4215, 30444	leathercraftercandethkeep, leathercrafteraluvian, leathercraftersho, leathercraftergharundim, leathercrafterviamontian	Scavenger Ursuin(ursuinscavenger - level: 4),Field Ursuin(ursuinfield - level: 11),Tiofor Ursuin(ursuintiofor - level: 18),
500	1,080	-1004	waspwingred	3703	6	3917, 3918, 3920, 3923, 3924, 21338, 24215, 24573	collectoraluvian, collectorgharundim, collectorsho, collectorwingaluvian, collectorwingsho, collectorshoyanshidestroyed, collectorshoblackhill, collectorcandethkeep	Red Phyntos Wasp(phyntoswaspred - level: 4),Red Phyntos Drone(phyntoswaspbossmonster - level: 7),Red Phyntos Wasp(phyntoswaspred-immobile - level: 6),
